ip,name,code,pfrmat
133.91.40.5,chuo-fams-server,237,TS
134.157.50.103,ppfld,404,TS
134.160.214.98,NEFILIM,54,TS
134.160.214.98,RosEda,328,TS
134.225.158.94,IntFOLD3,133,TS
134.225.158.94,McGuffin,162,TS
134.225.158.94,ModFOLD5,252,QA
134.225.158.94,ModFOLD5_single,464,QA
134.225.158.94,ModFOLDclust2,239,QA
134.94.172.64,slbio,492,TS
134.94.85.22,Schroderlab,396,TS
137.43.155.155,Distill,349,RR
137.43.155.155,Distill,349,TS
138.246.125.64,HHPredA,346,TS
138.246.7.157,HHPredX,279,TS
140.109.19.98,IASL-COPE,402,RR
140.142.20.229,BAKER,64,TS
140.142.20.229,BioShell,362,TS
140.142.20.229,BioShell-server,145,TS
141.209.169.58,MLiD,105,RR
141.211.38.9,NMR-I-TASSER,329,TS
141.211.38.9,Zhang_Refinement,190,TS
14.139.128.13,wfFdit_BW_SVGroup,334,TS
14.139.128.14,wfFdit_BW_K_SVGroup,154,TS
14.139.234.82,raghavagps-paaint,47,RR
14.139.234.82,raghavagps-qaspro,151,QA
14.139.234.82,raghavagps-tsppred,117,TS
143.65.196.20,OccuScore,246,QA
143.65.57.167,3D-Jigsaw-V5_1,22,TS
143.65.57.167,Bates_BMM,26,TS
146.134.26.38,LNCCUnB,111,QA
146.134.26.38,LNCCUnB,111,TS
147.47.212.87,BAKER-REFINESERVER,302,TS
149.166.112.206,LmtdSeder,483,TS
149.166.112.206,Seder1,368,TS
149.166.112.206,Seder2,445,TS
150.82.219.140,Legato,32,TS
151.152.101.44,COHVaidehi,16,TS
153.19.29.7,KIAS-GDANSK,63,TS
155.198.233.120,PhyreX,300,TS
155.198.233.120,Sternberg,219,TS
156.145.28.171,dppred,24,TS
158.144.23.59,DandekarLab,102,QA
158.75.4.157,PLCT,231,RR
159.226.43.106,FALCON_EnvFold,452,TS
159.226.43.106,FALCON_MANUAL,381,TS
159.226.43.106,FALCON_TOPO,335,TS
159.226.43.35,FALCON_Contact,262,RR
159.226.43.35,FALCON_MANUAL_X,414,TS
162.129.230.230,SHORTLE,241,TS
166.111.152.91,Gong3701,360,TS
169.230.22.25,Laufer,428,TS
169.237.61.190,DT12,419,TS
173.2.242.108,SSThread,401,TS
176.115.56.152,Nanoworld_Laboratory,311,TS
176.59.69.216,pkfc,76,TS
189.15.136.103,MEAMT-group,386,TS
189.39.157.28,2PG,116,TS
192.231.106.2,FFAS03,193,TS
192.231.106.2,FFAS-3D,212,TS
193.147.150.201,CNIO,67,RR
193.147.150.201,CNIO,67,TS
193.52.219.44,Alpha-Gelly-Server,436,TS
194.167.34.215,Atome2_CBS,156,TS
200.14.52.218,FoDTcm,283,RR
202.120.37.150,Shen-Group,124,RR
202.131.227.149,Mongolian_Team,495,TS
202.170.57.240,MBBS,269,TS
210.218.220.78,STAP,357,TS
210.98.29.247,LEE,169,RR
210.98.29.247,LEE,169,TS
210.98.29.247,LEER,44,TS
210.98.29.247,nns,38,QA
210.98.29.247,nns,38,RR
210.98.29.247,nns,38,TS
210.98.29.247,RFMQA,478,QA
210.98.29.247,RFMQA,478,TS
210.98.30.120,WY-C,430,TS
212.76.37.190,ConsMQAPsingle,480,QA
212.76.37.190,MQAPmulti,285,QA
212.76.37.190,MQAPsingle,494,QA
212.76.37.190,MQAPsingleA,148,QA
212.76.37.190,MQAPsingleB,337,QA
212.76.37.190,QA-RecombineIt_H,438,TS
212.76.37.190,QA-RecombineIt_H2,434,TS
212.76.37.190,QA-RecombineIt_WFH,364,TS
212.87.21.35,Boniecki_pred,301,TS
218.48.34.174,Seok,296,TS
218.48.34.174,Seok-refine,425,TS
218.48.34.174,Seok-server,11,TS
220.227.156.146,BhageerathH,228,TS
24.12.102.133,RaptorX,50,TS
24.12.102.133,RaptorX-Contact,57,RR
24.12.102.133,RaptorX-FM,466,TS
24.19.12.143,BAKER-ROSETTASERVER,184,TS
24.4.181.188,WeFold-Wiskers,281,TS
24.4.181.188,wfAll-Cheng,403,TS
24.4.181.188,wfAll-MD-RFLB,153,TS
24.4.181.188,wf-Baker-UNRES,128,TS
24.4.181.188,wfCPUNK,442,TS
24.4.181.188,wfFdit-BW-KB-BW,208,TS
24.4.181.188,wfFdit-K-McG,180,TS
24.4.181.188,wfHHPred-PTIGRESS,34,TS
24.4.181.188,wfKeasar-PTIGRESS,457,TS
24.4.181.188,wfKsrFdit-BW-Sk-BW,336,TS
24.4.181.188,wfKsrFdit-BW-Sk-McG,120,TS
24.4.181.188,wfMix-KFa,118,TS
24.4.181.188,wfMix-KFb,197,TS
24.4.181.188,wfMix-KPa,482,TS
24.4.181.188,wfMix-KPb,56,TS
24.4.181.188,wfZhng-Ksr,173,TS
24.4.181.188,wfZhng-Sk-BW,260,TS
35.9.97.225,FEIG,288,TS
41.232.83.154,MICROGSIMU,385,TS
50.81.60.179,MUFOLD-QA,408,QA
63.161.160.2,rluethy,97,TS
63.249.103.32,SAM-T06-server,86,RR
63.249.103.32,SAM-T08-server,73,RR
63.249.103.32,SAM-T08-server,73,TS
67.183.220.174,ProQ2,338,QA
67.183.220.174,ProQ2,338,TS
67.183.220.174,ProQ2-refine,132,QA
67.183.220.174,ProQ2-refine,132,TS
67.183.220.174,Wallner,347,QA
67.183.220.174,Wallner,347,TS
68.10.153.68,Pareto,439,TS
69.0.36.24,wf-AnthropicDreams,203,TS
74.192.10.7,TsaiLab,192,TS
74.70.176.41,Bystroff,61,TS
75.18.181.146,MATRIX,110,TS
75.18.181.146,STRINGS,263,TS
75.36.209.222,BITS,407,QA
75.36.209.222,KnowMIN_server,121,TS
76.31.113.132,Wiskers,490,TS
79.132.162.13,VoroMQA,37,QA
82.108.5.186,BioSerf,210,TS
82.108.5.186,CONSIP2,21,RR
82.108.5.186,Jones-UCL,65,TS
83.11.115.65,InnoUNRES,493,TS
84.108.5.39,qmo,229,TS
86.166.186.161,Contenders,361,TS
86.166.186.161,WeFold-Contenders,14,TS
87.69.22.112,TAUbioinfounit,486,TS
91.42.47.209,Void_Crushers,186,TS
91.42.47.209,wf-Void_Crushers,258,TS
91.98.252.40,PSF,206,TS
93.37.199.113,CASPITA3D,230,TS
93.37.199.113,Qpot,259,QA
93.37.199.113,Qpotclust,456,QA
93.37.199.113,Qpotfilt,353,QA
94.118.95.103,OPIG,77,TS
99.118.111.221,GoScience,40,TS
99.118.111.221,WeFold-GoScience,433,TS
99.39.254.148,Anthropic_Dreams,342,TS
